Award Name,Organization,Purpose,Level Of Study,Award Type,Award Amount,Deadline
A Balanced Life Scholarship,Life Reimagined Scholarships,"Deciding how to spend your time and effort may not always be easy, but it’s what makes living so fun. We all have virtually infinite paths we can walk, and the gift of life is to slowly unearth a path that makes us tick. To encourage people to think more deeply about what they want out of life, this scholarship will support one person from any background or educational level who is committed to making the most of their time on this spinning rock.","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$1,000",August
A DUI Defense Scholarship,"The Orr Law Firm, LLC",To provide assistance toward any expense incurred in law school.,Graduate Degree,Scholarship,"$1,000",August
AABB-Fenwal Specialist in Blood Bank Scholarship Awards,American Association of Blood Banks,"To recognize individuals who are enrolled, accepted for enrollment in, or who have recently completed training (within12 months) leading to SBB certification from an AABB-accredited institution.",Professional Development,Scholarship,"$1,500",August
AAS/AAS Trainee Research Fellowship Awards,Association for Academic Surgery,To provide an resident or fellow who has completed at least two years of postgraduate training in a surgical discipline the opportunity to spend one year in a full-time research position with an AAS member.,Professional Development,Fellowship,"$20,000",August
ACSUS Distinguished Dissertation Award,Association for Canadian Studies in the United States,To honor outstanding doctoral research on Canada at American institutions.,Graduate Degree,Prize,$500,August
AECT Legacy Graduate Scholarship,Association for Educational Communications and Technology,To improve the teaching/learning process in the library and classroom and to supplement the recipient's training by extending the use of educational communications and technology.,"Graduate Degree
Professional Development",Scholarship,$500,August
AECT Mentor Endowment Scholarship,Association for Educational Communications and Technology,To support graduate study at the doctoral level in the field of educational communications and technology.,Graduate Degree,Scholarship,"$2,000",August
AFSP Standard Research Innovation Grants,American Foundation for Suicide Prevention,To support the work of investigators from all disciplines that contribute to the understanding of suicide and suicide prevention.,Professional Development,Grant,"$300,000",August
AGA-Elsevier Pilot Research Award,American Gastroenterological Association,To support pilot research projects in gastroenterology or hepatology related areas.,Professional Development,Prize,"$30,000",August
Al Conklin and Bill de Decker Business Aviation Management,National Business Aviation Association,To promote professional development and business aviation careers.,Bachelor's Degree,Scholarship,"$5,000",August
Al Maurer Awards,Edmonton Community Foundation,To assist public service employees with furthering their education in areas that will promote public service excellence.,N/A,Scholarship,"$500
$2,500",August
American Society of Colon and Rectal Surgeons International,American Society of Colon and Rectal Surgeons,To provide research support to residents and clinical investigators from outside the U.S. or Canada to travel to the U.S. or Canada to do research.,Graduate Degree,Fellowship,"$50,000",August
ANN Ingrid Josefin Ridky Academic Scholarships,The Academy of Neonatal Nursing,To provide monies to ANN members pursuing academic advancement in neonatal nursing.,"Graduate Degree
Professional Development",Scholarship,"$1,000",August
Anne Friedberg Innovative Scholarship Award,Society for Cinema and Media Studies,"To recognize innovative works that expand the discipline of film and media studies, emphasizing its relationship to other visual fields, including architect, art history and digital media.",N/A,Scholarship,"$1,000",August
"Annual Young, Marr & Associates Scholarship","Young, Marr & Associates",To support those pursuing a legal career,Bachelor's Degree,Scholarship,"$1,000",August
"Annual Young, Marr & Associates Scholarship","Annual Young, Marr & Associates",To support those pursuing legal careers.,Bachelor's Degree,Scholarship,"$1,000",August
APABA Silicon Valley Achievement Scholarship,Asian Pacific American Bar Association of Silicon Valley,To support law students in the Bay Area.,N/A,Scholarship,"$5,000
$10,000",August
Arctic Physical Therapy Scholarship,Arctic Physical Therapy Fairbanks,To support college and university students in pursing their degrees.,Bachelor's Degree,Scholarship,$500,August
ASHFoundation New Investigators Research Grant,American Speech Language Hearing Foundation,To pursue doctoral research in audiology or speech-language pathology.,Graduate Degree,Grant,"$10,000",August
ASHFoundation Speech Science Research Grant,American Speech Language Hearing Foundation,To support investigations that will advance knowledge of the efficacy of treatment and assessment practices; to help further research activities of new investigators that have particular relevance to audiology and/or speech language pathology.,Graduate Degree,Grant,"$10,000",August
Australian-American Health Policy Fellowships,The Commonwealth Fund,"To offer a unique opportunity for outstanding, mid-career U.S. health policy researchers and practitioners to spend up to 10 months in Australia.",Graduate Degree,Fellowship,N/A,August
