Program,Acceptance Rate,,95%+,90-94%,85-89%,80-84%,75-79%,70-74%,Below 70%
Architecture & Planning,0.404436861,,40,28,3,0,0,0,0
Biological & Biomedical Sciences,0.487970076,,49,24,5,0,0,0,0
Commerce/Mgmt/Business Admin,0.371101872,,37,13,0,0,0,0,0
Computer & Information Science,0.213733074,,21,3,0,0,0,0,0
Engineering,0.29285268,,29,5,0,0,0,0,0
Fine and Applied Arts,0.33007335,,33,20,8,2,0,0,0
Kinesiology/Recreation/Physical Education,0.412479294,,41,35,15,3,0,0,0
Languages & Linguistics,0.042044517,,4,4,1,0,0,0,0
Liberal Arts & Sciences/General Studies/Humanities,0.6568545,,66,47,19,5,1,0,0
Physical Science,0.518710419,,52,30,7,1,0,0,0
Social Sciences,0.549056604,,55,39,14,3,0,0,0
