Program,Acceptance Rate,,95%+,90-94%,85-89%,80-84%,75-79%,70-74%,Below 70%
Architecture & Planning,0.426470589,,43,32,13,3,0,0,0
Biological & Biomedical Sciences,0.358341015,,36,28,14,4,0,0,0
Commerce/Mgmt/Business Admin,0.379952457,,38,26,11,4,1,0,0
Communication & Journalism,0.443151297,,44,37,22,9,1,0,0
Computer & Information Science,0.160080681,,16,1,0,0,0,0,0
Engineering,0.446050005,,45,12,1,0,0,0,0
Health Profess & Related Programs,0.424528302,,42,34,17,3,0,0,0
Kinesiology/Recreation/Physical Education,0.466386555,,47,42,27,9,1,0,0
Liberal Arts & Sciences/General Studies/Humanities,0.368785554,,37,29,17,5,1,0,0
Mathematics & Statistics,0.387655032,,39,15,1,0,0,0,0
Physical Science,0.380196306,,38,31,17,6,1,0,0
General Science,0.410083161,,41,31,13,3,0,0,0
Social Sciences,0.336114423,,34,29,21,8,2,0,0
