Program,Acceptance Rate,,95%+,90-94%,85-89%,80-84%,75-79%,70-74%,Below 70%
Biological & Biomedical Sciences,0.659093516,,66,60,43,24,10,3,0
Commerce/Mgmt/Business Admin,0.37578498,,38,30,21,12,4,1,0
Communication & Journalism,0.252293577,,25,24,20,14,7,1,0
Computer & Information Science,0.317613636,,32,29,20,7,2,0,0
Education,0.225371121,,22,21,12,7,3,0,0
Engineering,0.398739873,,40,37,29,14,2,0,0
Fine and Applied Arts,0.436412718,,44,39,25,12,4,1,0
Health Profess & Related Programs,0.211519365,,21,20,16,11,6,2,0
Languages & Linguistics,0.72688629,,73,60,36,17,7,2,0
Liberal Arts & Sciences/General Studies/Humanities,0.364693446,,36,35,25,15,7,2,0
Mathematics & Statistics,0.207987942,,21,18,13,8,4,1,0
Natural Resources & Conservation,0.439490445,,44,41,27,11,9,3,0
Physical Science,0.281920326,,28,26,22,17,8,2,0
Social Sciences,0.430560591,,43,40,32,20,9,3,0
